acorn_out1.png,"stem, cap, smooth, woody, poisonous, rough, pointy, natural, intact, scaly|acorn, squirrels, hard, pithy, green, brown, fairy hat, oak, tree"
africanelephant_out1.png,"single grey elephant, old, large ears, two tusks, long trunk|soft, wisdom, intuitiveness, beauty of nature, conservation, herd, spirituality, wonder of the world"
africanelephant_out1.png,"large, gray, elephant, animal, wild animal, nature, trunk, ears, tusks|large animal in the wild, majestic beast, walking, has white tusks"
africanelephant_out1.png,"gray wrinkled skin, huge ears, long trunk, four legs, has tusks |blind men touching an elephant, need a model of one of these in 28 mm scale."
africanelephant_out1.png,"This is a rather large elephant with long white tusk, and really long nose.|I love how its ears are flared out, and it's such a beautiful animal."
africanelephant_out1.png,"LONG TRUNK, HUGE EARS, TWO TUSKS, FOUR LEGGED MAMMAL, HUGE|ENDANGERED SPECIES, IVORY TRINKETS, STOMPING, CIRCUS SHOWS, DUMBO, LOUD ROAR"
africanelephant_out1.png,"tusk, trunk, feet, legs, ears, large, big, huge, animal, elephant|Elephants are very large and powerful, they are majestic perhaps"
africanelephant_out1.png,"Elephant, African Elephant, Ivory Tusks, trunk, mammal, animal, four legs, quadruped |safari, poachers, Ivory, zoo animal, gray, circus, Dumbo, Water for Elephants"
africanelephant_out1.png,"Elephant, mammal, tusks, feet, large, India, animal, elephants, love, happiness|Elephant, zoo, rides, tusks, ears, feet, India, bellwood, circus, happy"
africanelephant_out1.png,"One long trunk, four long legs, two tusks, two wide ears, elephant.|Majestic, long memory, social, loving, mysterious, bristly. Rode one once when I was very young, didn't care for the experience."
africanelephant_out1.png,"Gray, large, intimidating, long trunk, ivory tusks, extremely tall, good resolution.|The Iron Bowl, War Eagle, that's not even a Crimson Tide."
africanelephant_out1.png,"Ears, Trunk, Tusks, grey, large, mammal, quadruped, intelligent, emotional, herbivore |African savanna, ivory trade, endangered species, intelligent species other than humans, social animals"
alligator_out1.png,"big jaws, many teeth, large, webbed feet, large tail, bumpy scales|danger, eats dogs, swamp, Louisiana, cowboy boots, Everglades, tasty, invades swimming pools"
alligator_out1.png,"organic, animal, metazoan, chordate, vertebrate, terapod, reptile, alligator, teeth, tale, legs, eyes |danger, Florida, endangered, sewers, New York, Everglades, shoes, purses, belts"
alligator_out1.png,"alligator, crocodile, amphibian, scaly, long, large mouth, sharp teeth, big tail |swamp water, Louisiana, Florida, scary, being bitten and dragged, heaviness"
alligator_out1.png,"alligator, reptile, animal, swampland, crocodile, water animals, predator, green, monster|crocodile hunter, animals, fear, biting humans, florida gators, swamps, bites"
alligator_out1.png,"gray gator, sharp teeth, long body, tail, short legs, tongue|large gator with his mouth open, scary, dangerous, walks slowly"
alligator_out1.png,"rough and scaly skin, rows of sharp teeth, long tail |big and scary, crocodile from Florida, eats small dogs, camouflage"
alligator_out1.png,"SCALY SKIN, LONG POWERFUL TAIL, LONG POWERFUL JAWS, SHARP TEETH|DEATH, WATER, SCARED, FRIGHTENED, LOUD SNARL, SNAPPING JAWS, DEAD ANTELOUPE"
alligator_out1.png,"black and white, animal, reptile, amphibian, feet, teeth, scales, scary|Some kind of animal, probably a strong, fierce animal of some kind"
alligator_out1.png,"Long heavy body, thick skin bumps, hard leather, many sharp teeth, long snout, short legs|Alligator, crocodile, dangerous teeth, swimming, slithering, snapping jaw, swamps, predator"
alligator_out1.png,"alligator, crocodile, scales, reptile, sharp teeth, mouth, legs, tail, animal|swamps, rivers, green, Steve Irwin crocodile hunter, lizards, zoo animal, purses, leather"
alligator_out1.png,"crocodile, alligator, teeth, dangerous, scales, reptile, big, tail, webbed feet|giant teeth, big mouth, carnivore, dangerous, eats dogs, scary, animal"
alligator_out1.png,"Scaly alligator, sharp teeth, pointy toes, thick tail, open mouth.|Danger lurking in the water, cute babies don't always stay cute."
alligator_out1.png,"scales, feet, teeth, reptile, amphibious, open mouth, animal, living, long tail, close to the ground|danger, Florida, wondering if he's being aggressive and ready to bite someone or something or just yawning, remembering that I can't tell an alligator from a crocodile unless I see pictures of both side by side, remembering news stories about alligators attacking people's pets in Florida"
almond_out1.png,"nut tree seed, brown skin, white meat, protein, fat, sweet|tasty, healthy, high calorie, expensive, California, orchard, almond milk, yogurt"
almond_out1.png,"organic, eukaryote, plant, nut, almond, brown, edible, germ, bran, endosperm|fall, harvest, Halloween, delicious, healthy, Christmas, nutcracker, hard, beautiful, fiber"
almond_out1.png,"hard nuts, black, rough, almond shaped, healthy snack, small handful|natural, clean, healthy food, low calorie snack, quick hunger satisfier"
almond_out1.png,"almonds, nuts, food, snacks, small, grouped, clustered, nine, handful, shell|fun to eat, great snack, delicious, healthy to eat, crack the shells"
almond_out1.png,"almonds, dry fruit, brown exterior, white interior, oval shape, varied sizes|almond milk, cookies & ice cream, almond powder, almond scrub"
almond_out1.png,"black, seed, rough, dark, oblong, pointed end, shell, small, wrinkled|baseball games, food, flowers, spitting, summer, snack, salted, healthy, road trip"
almond_out1.png,"tasty almonds, small amount of cyanide, nine nuts,  brown color, crunchy |Taylor is allergic to these, I wonder if there are any in the pantry, I know there are cashews"
almond_out1.png,"SMOOTH, OBLONG, DARK COLORED, SMALL GROOVES IN SURFACE, GROUPED TOGETHER|SEEDS, NUTS, SQUIRRELS, EATING NUTS, PEANUTS, CASHEWS, ALMONDS, NUT MIX"
almond_out1.png,"food, nuts, almonds, calories, protein, minerals, nutrients, once living, plant|This image brings to mind times when I consumed almonds.  They were good."
almond_out1.png,"Small brown edible seed, rough bumpy skin, teardrop oval shape|Almond, hard nut, roasted cereal ingredient, healthy, candy bar topper"
almond_out1.png,"almond, nine almonds, almonds, nut, seed, nutritious, healthy snack, food|delicious snack, finger food, honey bunches oats with almonds, toasted, yummy, snack"
almond_out1.png,"9 almonds, nuts, tree nuts, brown skin, grains in the skin|yummy, delicious, nuts, baking, sliced almonds, love, tree nuts, almond"
almond_out1.png,"Black surface, small. Not very sleek, rough appearance,  very seed-like.|Seeds, pebbles, rocks, watermelons, sunflowers, fruits, plants, vegetables, organic, growing."
aloe02_out1.png,"clay pot, green, gooey, spikey, healing, glazing, desert plant, drought resistent|cuts, sunburn, heat, sunshine, herbs, self healing, aloe gel, relief"
aloe02_out1.png,"organic, plant, house plant, vase, saucer, water, leaves, chlorophyll, green, soil|healing, breathing, beautiful, interesting, maternal, housekeeping, air quality, carbon footprint"
aloe02_out1.png,"ceramic pot and dish, aloe vera, desert plant, dry, useful, green|healthiness, helpful plant, burn reduction, soothing, homeopathic, cut, easily grown"
aloe02_out1.png,"plant life, potted plant, details on the pot, dish under pot for catching water|decorative for the home, great for desk area, fun to look at"
aloe02_out1.png,"plant, planter, dish, long leaves, green, no stems, lily, ornamental, dish|resembles Amaryllis lily, really long leaves, green, ceramic pot, beautiful"
aloe02_out1.png,"ornamental pot, healthy plant, medium sized, green color, very full pot|would my wife like it?, is that a cactus? re-potting would be needed soon"
aloe02_out1.png,"SPIKY STALKS, SMOOTH TEXTURE, BROKEN BOWL, BOWL SITTING ON DISH|ALOE VERA, SUN BURN, WATERING PLANTS, WATCHING PLANTS GROW, HOUSEPLANTS"
aloe02_out1.png,"plant aloe vera, pot, broken pot, soil, grasslike, large, healing|wounds, heal, home, plants, garden, desert, hardy, clay pot, water"
aloe02_out1.png,"plant, alive, living, being, biology, multiple, useful, attractive, indoors or outdoors|Plants that I used to have before, being places with plants"
aloe02_out1.png,"Long green stems, thick spikes, smooth skin, fast growing, plant|Aloe plant, sticky wet center, healing, soothing, lotion, tea, burn relief"
aloe02_out1.png,"leaves, succulent, potted plant, succulent in a planter, plant, houseplant, ceramic pot.|A potted succulent plant sitting in a pot that was bought from an artist at a craft market sitting on a window sill."
aloe02_out1.png,"Spiky houseplant in an uneven clay pot that looks handcrafted.|Green, oxygen producer, natural air purifier, bit of nature indoors."
aloe02_out1.png,"plant, pot, ceramic pot, water tray, soil, water, plant food.|Houseplant, sunlight, growth, natural lighting, kitchen plant, windowsill, gardening, nurturing."
americangoldfinch_out1.png,"bird, beak, feathers, feet, claws, wings, tail, flight, eyes, sings|spring, birdseed, morning singing, migration, flight, north woods, wildlife, feeder"
americangoldfinch_out1.png,"organic, chordate, aves, passeriformes, tail, beak, eyes, body, feathers, legs, claws|angelic, beautiful, free, dinosaur, musical, airborne, eggs, feathers, wings, migration"
americangoldfinch_out1.png,"small bird, pointy beak, sharp claws, downy belly feathers, long tail feathers, beady eyes |flight, hunting for food, tropics, freedom, soaring in the air, fluttering wings"
americangoldfinch_out1.png,"bird, multicolored, feathers, beak, dark colored head, dark colored tail|pretty bird, interesting to watch, nature, lives in trees, makes sounds"
americangoldfinch_out1.png,"bird, beak, two feet, black and white color, black tail and head, white body |black and white bird, resembles a sparrow in size, looks like a dove"
americangoldfinch_out1.png,"small feet, soft feathers under its belly, vivid colors on wing sand back |Bird, species unknown,  probably a small song bird, I should paint my griffon model"
americangoldfinch_out1.png,"SHORT BEAK, BLACK HEAD WITH BLACK EYES, LONG TALONS, SHORT TAIL FEATHERS|BIRDS, LOUD BIRD NOISES, FLYING, FLYING INTO WINDOWS, DEFECATING ON CARS"
americangoldfinch_out1.png,"feet, beak, tail, legs, eyes, bird, small, living, moving, flying|Birds are quite old and have been around for longer than us"
americangoldfinch_out1.png,"Small feathery body, short sharp beak, tiny black eye, two sharp clawed feet, dark tail feathers|Finch, bird, flying, free, flock, eggs, nest, singing, chirping, seeds"
americangoldfinch_out1.png,"bird, song bird, chickadee, wings, feet, beak, animal, small, fly, feathers|flight, bird in the trees, birds nest, aviary, feathers, tweet"
americangoldfinch_out1.png,"Bird, flying, feathers, cute, bird, feet, fly, talons, claws, air|Soaring, believing, pigeons, birds, flying, cute, adorable, beach birds, stealing food"
americangoldfinch_out1.png,"Beak, feathers, wings, talons, eyes, tail feathers, black back feathers.|Birds, flight, catching insects, landing in trees, chirping, picking up random food left on the ground."
americangoldfinch_out1.png,"This is a black and white bird with a short beak,long claws and a long tail.|This bird makes me thing of the birds that ate all the lettuce in my garden!"
americanwhitepelican_out1.png,"webbed feet, white feathers, eats fish, big webbed mouth, large wings, small eyes|sea shore, Finding Nemo, Gulf Coast, piers, traveling, San Diego"
americanwhitepelican_out1.png,"organic, animal, chordate, ave, pelican, beak, eyes, feathers, webbed feet |magic, bizarre, unique, wisdom, sky, dinosaur, head movements, flying, wildlife"
americanwhitepelican_out1.png,"Feathers, beak,  eyes, webbed feet, waterproof,  swims,  flies,  floats,  paddles , foal |pelican,  swimming in the ocean, bobbing his head under water , looking for fish to eat,  soft down"
americanwhitepelican_out1.png,"pelican with white and black feathers, webbed feet, water bird|bodies of water, freedom, eating fish, swimming, shore, skyline, sunset"
americanwhitepelican_out1.png,"long bill, white feathers, black feathers on wing, bird, webbed feat|nice bird, animal, large bill for getting fish, many feathers"
americanwhitepelican_out1.png,"long bill, mostly white feathers, webbed feet, some black feathers |bird, probably a pelican, odd color pattern, what do the undersides of the wings look like?"
americanwhitepelican_out1.png,"It's a big white bird with a really long beak, duck feet, and black feathers underneath its white wings. |This bird is looking down, which makes it look like a really sad bird, even though this is probably its normal disposition."
americanwhitepelican_out1.png,"LONG BEAK, WEBBED FEET, LONG LARGE WINGS, SHORT LEGS, SMALL EYES|BIG BIRD, FISH, SEAGULLS STEALING FOOD, VICIOUS ANGRY BIRDS, FLYING"
americanwhitepelican_out1.png,"bird, beak, legs, web, feathers, body, animal, living being, alive|How old birds are, that birds have been around longer than humans"
americanwhitepelican_out1.png,"pelican, sea bird, webbed feet, feathers, wings, beak, long neck, bird|Finding Nemo, ocean, buoy, salt water, caw sound, animal, aviary, bird"
americanwhitepelican_out1.png,"pelican, bird, beak, webbed feet, feathers, long and big beak, holds water|eats fish, finding nemo, florida, bird poop, annoying noises, stealing food"
americanwhitepelican_out1.png,"Feathered and soft, expandable beak pouch, webbed footed, sad-eyed flyer.|Although I've lived by the sea, I've rarely seen one, other than in cartoons. Animators often make them seem like clowns, but that one looks so sad."
americanwhitepelican_out1.png,"Large beak, black bottom-layer feathers, webbed feet, very large beak.|The beach, wetlands, aquatic birds, eats fish, lives around wet climates."
anise_out1.png,"dry, pointy, folded, round, star-shaped, flower-like, smooth, hard, botanical, dark|spices, anise, nutmeg, buying dried things to draw at the garden festival"
anise_out1.png,"8 sided star shape, pods, dried out, open leaves, hard|strange, sea star, Christmas, alien, harsh, spikey, spices, unusual, pointsetta"
anise_out1.png,"star shaped, ocean creature, preserved, black, leather, many sided, octagram|ocean, science, biology, taxidermy, preservation, specimen, symbolic, marine, octopus, alternative therapy"
anise_out1.png,"tropical flower, eight petals, detailed, decorative, beautiful, unique, different, plant|use to decorate house, great for island theme, has many uses"
anise_out1.png,"star anise, flower-shaped, lotus petals, seed in each petal, herb|spice, herb, seasoning, food, curries, flavor, tasty, delicious, aromatic, delicious"
anise_out1.png,"flower with eight petals, slightly beat up, color undetermined, two short petals|Wonder if that is a real flower or a model? what color is it?"
anise_out1.png,"EIGHT SIDED, DARK COLORED, ROUGH SURFACE, CIRCULAR POINT IN CENTER|STARFISH, OCEAN DWELLING CREATURES, STAR SHAPED FLOWERS, POLLENATING BEES, PEACE"
anise_out1.png,"multiple, flower, black, it seems to be a black flower|multiple, flower, darkness, a great flower at the time of night"
anise_out1.png,"Oblong shapes with pointed tips, deep grooves, tiny center circle|Flower, petals, thick, decoration, plant, hard sharp edges, gardening, earth"
anise_out1.png,"flower, eight wilted leaves, shriveled flower, asymmetrical, not pretty, ugly|dead, dying, ugly, black and white, disgusting, death, holes, shriveled"
anise_out1.png,"petals, ridges, central point, pointy, black, star-shaped, sections radiate from a common central point|starfish, flowers, the sea, the beach, the woods, the tropics,"
anise_out1.png,"Star shape, pointed edges, all black, special image resonance technology.|Flowers, plants, nature, aquatic life, stellar bodies, Jewish star of David."
anise_out1.png,"eight appendages, radial symmetry, folded, three-dimensional, center, flower-shaped, two shorter appendages, six longer appendages. living thing|It looks like a flower, except it doesn't look exactly like a flower, I don't know what it is, maybe it is a flower but it's folded weird, I can't tell if it's an animal or a plant even though it's obviously a living thing, this bothers me because I studied biology"
ant_out1.png,"antenna, 6 legs, thorax, large abdomen, exoskeletin, mandible jaws, quick|ant colony, hive mind, bites, underground, destructive, stings, pest, Sevin pesticide"
ant_out1.png,"organic, animal, arthropod, insect, ant, antenna, mandibles, eyes, legs, claws, stinger|social, strong, segmented, productive, armor, subservient, diligence, loyalty, industry, community"
ant_out1.png,"black insect, ant, six legs, two antennae, bisected body, crawling|summer, itching, infestation, movement, dirtiness, picnic, avoidance, bug spray, checkered blankets"
ant_out1.png,"large insect, ant, black, antennae, six legs, large body, large mid section|giant ant, crawling, carries food on their back, bad at picnics"
ant_out1.png,"black, ant, antennas, legs, three parts, larger than red ants, eyes|black Carpenter ants, large, fast, carry heavy loads, live in colonies, wood infestation"
ant_out1.png,"Black exoskeleton, six legs, long antenna, very small, shiny and smooth.  |An Ant,  they have stripes?, do I have any ant models that need painting?"
ant_out1.png,"SIX LEGGED BUG, TWO ANTENNAE, LARGE HIND END, ROUND HEAD|ANT BITES, ANTS ON FOOD, ANTS INSIDE THE HOUSE, ANTS IN THE CAR"
ant_out1.png,"Antennae, Feelers, Legs, Mandible, Head, Body, Feet, Eyes, Spine, Torso |Bug, Gross, Tiny, Small, Minuscule, Insect, Dirty, Infestation, Crawling, Workers"
ant_out1.png,"animal, insect, ant, legs, arms, feelers, torso, small, black, strong|This image brings to mind attempts to make things better"
ant_out1.png,"ant, two antennas, six legs, bug, garden insect, black, insect, segmented body|picnic blanket, biting, queen ant, A Bug's Life movie, worker,"
ant_out1.png,"ant, eight legs, two antennae, but, stinger, insect, three part body|gross, kill them all, bugs, insects, tiny, nuisance, bites are the worst"
ant_out1.png,"Antennae, thorax, abdomen, legs, head, feet adhesive, maw, eyes, arms.|Anthill, insect infestation, Raid bug spray, sugar, food, picnics, bug bites."
ant_out1.png,"This ant is black,it has six legs and two antenna's.|This ant reminds me of the ones that the contestants on the show ""Naked and Afraid"" ate."
apple01_out1.png,"apple, skin, fruit, smooth, red, crunch, sweet, tasty, snack, spotted|school, teacher, autumn, cider, easy to carry, johnny appleseed, lunch"
apple01_out1.png,"organic, plant, rosales, malus, red delicious, apple, stem, flower, flesh, peel|tasty, lush, red, Sir Isaac Newton, healthy, delicious, core, seed, poison, cancer"
apple01_out1.png,"smooth skin, fruit, apple, nutritious, healthy, natural, clean, good for you|healthy, nutrition, natural, picked from a tree, October, autumn, apple picking, crisp air"
apple01_out1.png,"red apple, shiny, small, hold in one hand, easy to peel|tastes delicious, great for cutting into pieces, great for eating as a snack"
apple01_out1.png,"apple, fruit, sweet, juicy, red, smooth, tasty, delicious, white, seeds|apple slices, apple pie, sweet and yummy, red, yellow, green"
apple01_out1.png,"This is a round, red apple that does not have its stem. |It looks like it's nice and sweet, but I wonder where its stem is."
apple01_out1.png,"SMOOTH AND SHINY, ALMOST ROUND, DARK COLORED WITH LIGHT SPOTS|HUNGRY, FRUIT, JUICY BITES, CRISP APPLE CIDER, APPLE CORES IN GARBAGE"
apple01_out1.png,"Skin, Flesh, Stem, Fruit, Nutrition, Sugar, Juice, Navel, Sweet, Fiber|Natural, Grows, Sweetness, Taste, Snack, Fruit Juice, Nutritious, Healthy, Organic"
apple01_out1.png,"fruit, tasty, food, once living, perhaps no longer living, black and white|This is not a tasty food but this food is healthy"
apple01_out1.png,"apple, red delicious, fruit, food, produce, red, stem, vitamins, crisp|apple tree, apple pie, apple juice, juicy, school teacher, healthy, an apple a day keeps the doctor away"
apple01_out1.png,"apple, red, green, granny smith, no stem, ripe, delicious, fruit|yummy, fruit, seeds, apple core, crunch, spots, worms, delicious, red"
apple01_out1.png,"Juicy red apple, stem removed, seeds resting safe in the core within.|Crisp, sweet, refreshing snack, so good on a warm day. Symbol of forbidden knowledge, or, in Disney, a poisoned death."
apple01_out1.png,"Solid, speckled, missing a stem, skin, fruit, roughage, nutritious, delicious.|Tasty, healthy, keeps the doctor away, fruit salad, makes cider."
apricot_out1.png,"large peach, yellow and pink colored, pitted, soft outside skin|great fruit to eat, tastes great, perfect for snacking, juicy"
apricot_out1.png,"organic, plant, pit, fuzzy, flower, skin, flesh, deciduous, Rosales, delicious |beautiful, delicate, summer, orchard, tree, bounty, longevity, truth, virginity, purity"
apricot_out1.png,"plant, fruit, food, peach, round, not perfectly symmetrical, not perfectly shaped|I think of eating fruit.  I think of the flavor of peaches"
apricot_out1.png,"peach, pit, peach fuzz, fruit, comes from a tree, vitamins, food|peach jam, peach tea, peach tree, juicy, canning, preserving, smells good"
apricot_out1.png,"Round fruit with a smooth skin, a pit in the middle.|A peach sitting in a pile in the produce section of the grocery store."
apricot_out1.png,"fruity, misshapen sphere, partially bifurcated, indentation on one end,  symmetrical |a peach, orange, James and the giant peach, organic or not?"
apricot_out1.png,"round, one cleft, one dimple, smooth, dark gray color, clay-like appearance, |an apple, fruit, an anus, genitalia, lunch, missing the stem, looks like dough"
apricot_out1.png,"It seems to be a fruit. Most likely a peach or plumb with a large groove in its side.|delicious, soft, fuzzy, round, fruit, natural, sweet, plump, small, watery"
apricot_out1.png,"peach, black and white, fruit, line, hole, round, soft, circular|delicious, yummy, fruit, delectable, easy to grip, fruit butt, naked"
apricot_out1.png,"Soft velvet skin, light orange fruit, almost round, deep halving crease|Peach, tangy sweet fruit, healthy, messy, pie, snack, summertime food"
apricot_out1.png,"Peach, soft skin, pale color, line on the side, small point where stem entered, round, sphere.|Peach, juicy fruit inside, sweet fruit, sugary, summer, dripping, peach pie."
apricot_out1.png,"ROUND, CREASE IN THE SIDE, LIGHT COLORED, FRUIT, SMOOTH AND SOFT|HUNGRY, FRUIT, PEACHES, JUICY BITE, PITS, TASTY FRUIT, EATING FOOD"
apricot_out1.png,"fuzzy pink yellow skin, pit inside, sweet, juicy, grows on trees|Georgia, Amish, juicy, only good when fresh, canning, summer heat"
armadillo_out1.png,"a head, ears, four legs, a pointy tail, a shell, claws, a snout|Texas, armadillo, deserted highways, deserts, weird, cactus, something I would not eat, hot weather, arid land"
armadillo_out1.png,"large armadillo, long tail, long snout, small ears, hard shelled back|found in Louisiana among other places, slow to cross the road"
armadillo_out1.png,"armadillo, Texas resident, leathery armor shield, mammal, four legs, tail|Steel magnolias armadillo cake, certain types of armadillo carry leprosy, lives in the south part of usa"
armadillo_out1.png,"Pointy nose, long point tail, hard shelled back, clawed feet.|An armadillo crossing the road on a Texas highway in the summer."
armadillo_out1.png,"animal, legs, nose, eyes ,ear, tail, living creature, alive, armor|I wonder how strong this animal is, How durable is this animal"
armadillo_out1.png,"armored skin, many bands, long tail, long claws, small ears, long snout|weird, digger and jumper, ant eater, road kill, Texas, desert"
armadillo_out1.png,"hard shell on back, long nose, long tail, fur-less, large front claws |Armadillo, road kill, Texas, desert, reptile or marsupial?, long tongues"
armadillo_out1.png,"organic, mammal, chordate, snout, eye, scale, tail, claw, placental, South America|trust, safety, strange, tank, armor, peace, passive, odd, detached, Western"
armadillo_out1.png,"ARMORED SHELL, LONG CLAWS AND TAIL, LONG SNOUT, SHORT EARS|ARMADILLO, ANTEATERS, DINOSAURS, GROUND DWELLER, GROSS, UGLY, NASTY, STINKY ANIMAL"
armadillo_out1.png,"Tough gray bumpy skin, long pointy snout, thick short legs, tiny ears|Aardvark, mammal, desert animal, ants, long tongue, shelled back, slow moving"
armadillo_out1.png,"Toes, Claws, Tail, Head, Grayscale, Legs, Shell on back, Ears, Eyes, Armadillo|Armadillo, Ant eater, Claws, Tail, 3d imaging, computer generated, polygons"
armadillo_out1.png,"A greyscale armadillo that looks like it could be a model instead of an actual live armadillo.|Model, toy, plastic, plaything, museum, art, details, animal, examine, figure"
armadillo_out1.png,"aardvark, ant eater, ant, long snout, armadillo, tail, hard shell|cute, scurrying creature, animal, desert, low on the food chain"
artichoke01a_out1.png,"dried stalk, green, succulent leaves, layers, perennial vegetable, expensive, unusual|spinach artichoke dip, rye bread, canned, expensive, fancy restaurants, snooty food"
artichoke01a_out1.png,"large vegetable, leafy, green, thick stem, layered, spreads out at the top|great for eating, great for snacks, tastes good, good for cooking"
artichoke01a_out1.png,"Plant, food, appetizer, head, stem, leaves, heart, vegetable, green, finger-food.|Healthy, versatile, dip, tasty, party food, snack, rich, pizza topping, Mediterranean, vegetarian."
artichoke01a_out1.png,"vegetable, shaped like a rounded cone with a stem at the wider end  |artichoke, butter,scrapping with teeth, good for a romantic meal with wife"
artichoke01a_out1.png,"STALK, LEAVES, HARD AND SMOOTH SURFACE, ROUND BULB, SEPERATE STRUCTURES|FOOD, DIP, FLAVOR, COOKING WITH FAMILY, CUTTING THE VEGETABLE, HUNGRY"
artichoke01a_out1.png,"artichoke, flower, edible flower, artichoke heart, green, thorn flower, food



|yum, green, flower, food, artichoke hearts, spinach and artichoke dip, dinner"
artichoke01a_out1.png,"stalk, rough, vegetable, plant, once alive, not very good tasting|I think about how bad this item tastes and when I tasted it"
artichoke01a_out1.png,"artichoke, leaves, layers, vegetable, stem, stuffed, cooked, yummy, food, veggie|vegetable, artichoke, thanksgiving food, delicious, food, love, family, mom food"
artichoke01a_out1.png,"organic, plant, angiosperm, artichoke, stalk, head, leaves, roots, flowers, buds|welcome, friendship, pineapple, delicious, buttered, hope, prosperity, future, heart, soul"
artichoke01a_out1.png,"artichoke, artichoke heart, leaves, vegetable, good source of fiber magnesium potassium and vitamin c, food|delicious pizza topping, canned vegetable, artichoke dip, artichoke spread, underrated, a lot of work to prepare"
artichoke01a_out1.png,"Round green head, sharp broad nestled leaves, thick hard stem|Artichoke, vegetable, boiling water, soft bland pulp, melted salty butter"
artichoke01a_out1.png,"Stem at the bottom, and and overlapping leaves going up toward the top.|It looks like a fake vegetable. The shape is vegetable like, but the color is not."
artichoke01a_out1.png,"This image of an artichoke is grey with relatively high resolution and immense detail.|Darkness, sadness, depression and drudgery. Misery, moroseness, and overall sadness."
avocado01_out1.png,"avocado, green, purple skin, delicious, guacamole, vegetable, fruit, guac, burrito topping|burrito topping, chipotle, moes, guacamole, delicious, yummy, good on everything"
avocado01_out1.png,"avocado, fruit, green, pit, food, nutritious, vitamins, healthy fat, fruit from a tree|guacamole, baby food, seven layer dip, fiesta, delicious, healthy, full of vitamins and good fat."
avocado01_out1.png,"A vegetable with a dark, rough skin, a hard end on top.|An avocado ready to be turned into some delicious quacamole."
avocado01_out1.png,"DARK, HARD, SMOOTH YET BUMPY, FRUIT, OVAL SHAPED, OBLONG SHAPED|HUNGRY, TASTY, AVOCADO, POTATO, COOKING, MAKING DIP, CUTTING IT UP"
avocado01_out1.png,"An avocado with periodic small depressions in the skin for a rough texture.|deliciousness, hard, shell, ripe, fruit, skin, green, guacamole, tender, soft."
avocado01_out1.png,"Rough, ingenious, heavy, dense, solid, sink, dark, oval, minerals, dull, sand and dirt|Rock, sand, throw, grey, beach, outside, gardens, dull, bunches, rock piles"
avocado01_out1.png,"avocado, dark colored, small, dimpled, green inside, black outside, fruit|tastes good, can turn avocados into guacamole, easy to peel the outside"
avocado01_out1.png,"fruity, tough skin, smaller than a fist, not ripe, shiny |Avocado,  my daughter eats at least half of one each day,  I like Guacamole"
avocado01_out1.png,"dark green rough skin, eggish shaped, light green custard inside|tropical fruit, tasty, large pit, guacamole, Latin American food, fattening"
avocado01_out1.png,"bumpy skin, oblong shape, pointy end, rounded end, stem area|avocado, green, guacamole, salad, sandwich filling, soft and mushy inside"
avocado01_out1.png,"organic, plant, angiosperm, flower, pit, skin, flesh, green, delicious, juicy, |duality, balance, interdependence, self love, guacamole, tropical, South America, Mexico,"
